Date,Category,Content,Link URL,Link Text
September 2022,News,"Raff's musical drama ""Samson"" will receive its world premiere on Sept. 11 2022 at the Deutsche National Theater in Weimar.",,
September 2022,News,"Raff's final opera ""Die Eifersüchtigen"" has been performed for the first time on Sept 3 in Arth (CH). The CD recording of the production will soon become available.",,
January 2023,News,"The opera in Bonn has scheduled an additional concert performance of Meyerbeer's ""Ein Feldlager in Schlesien"" on January 1, 2023.",,
September 2023,News,"The record label Swiss Phonogram has recorded Raff's ""Samson"" as a studio production in September 2023.",,
2025,News,"There are plans to record Raff's ""Dame Kobold"" in 2025 in Czechia.",,
Q2 2024,News,"All string quartets by Raff will be available in Edition Nordstern editions by Q2 2024.",,
September 2023,Next Publications,Raff: string quartet No. 2,,
September 2023,Next Publications,"Raff: eight pieces for piano op. 216, ""Aus der Adventszeit""",,
September 2023,Next Publications,Raff: string quartet No. 3,,
September 2023,Next Publications,"Raff: song cycle op. 98, ""Sangesfrühling""",,
